model,time,score_mean,score_std,iterations,efficiency_mean,efficiency_std
Linear regression,1.0055522918701172,10.775777867625195,0.058853529485661284,1024,10.716277964604405,0.05852856182765594
Quantile regression,179.2813959121704,11.344643602287865,0.3041835174175534,1024,0.06327842074503694,0.0016966820002147478
Nearest Neighbors,9.017913818359375,5.182581226028307,0.2927558029492076,1024,0.5746984646800685,0.03246380580319945
Linear SVM,8.021234273910522,10.41132056248653,0.20590506345914592,1024,1.2979698892912137,0.02566999746271752
RBF SVM,313.3705883026123,4.170166575766369,0.08120639796560825,1024,0.013307460021549207,0.0002591385439376006
Polynomial SVM,229.27558994293213,3.2819016667623013,0.09239201193877038,1024,0.014314221882840573,0.00040297360901684834
Gaussian Process,16.18482995033264,10.641160845157737,0.881115531225605,1024,0.6574774574594175,0.054440827239429584
Decision Tree,11.047717809677124,5.951372704376382,0.37069267342187084,1024,0.5386970238471646,0.03355377823799652
Random Forest,225.26669907569885,4.918837088511549,0.157284021345691,1024,0.02183561577762818,0.0006982124832079024
Gradient Boosting,1991.5677063465118,1.1304029684351848,0.1315314701109929,1024,0.0005675945461622717,6.604418704513167e-05
Neural Net,21045.223368644714,2.370336911309471,0.22250286178913914,1024,0.00011263063688081528,1.0572606329313009e-05
AdaBoost,1029.1989398002625,6.788210944139469,0.13506768170699943,1024,0.00659562566733392,0.00013123573731353838
SGD,5070.704136610031,9.590425306544903,0.15462273718515662,1024,0.0018913399496734366,3.0493346292637006e-05
Linear regression,1.0055291652679443,11.003151877871979,0.6430648907618601,2048,10.942648167683886,0.6395288301662558
Quantile regression,359.4435131549835,11.541751306435179,0.27930019551185264,2048,0.03211005591707159,0.0007770350146545141
Nearest Neighbors,9.01705813407898,5.452591093722698,0.4052398753000904,2048,0.6046973428190764,0.044941473069640185
Linear SVM,13.086751461029053,10.906343556401135,0.1912297555968019,2048,0.8333881474618862,0.014612469424995474
RBF SVM,630.7630100250244,4.609762681370467,0.7402357507873935,2048,0.0073082324234383725,0.0011735560567478836
Polynomial SVM,446.5391936302185,4.734333622129996,1.1038716232067238,2048,0.01060228013501212,0.002472059875041665
Gaussian Process,16.133436918258667,9.056280582825428,0.6211791106668849,2048,0.5613361014587152,0.038502590230100255
Decision Tree,19.0994975566864,6.403541893898686,1.0563693937089564,2048,0.3352727931660651,0.05530875304827796
Random Forest,453.5897226333618,3.8832529296959195,1.313680037372388,2048,0.008561157221886103,0.0028961856316886622
Gradient Boosting,4106.299382209778,1.9894456059280046,1.125196563849727,2048,0.00048448625410682977,0.00027401717680998944
Neural Net,38464.51912069321,2.486222476424032,0.12333739712621747,2048,6.463677522193407e-05,3.206523828861914e-06
AdaBoost,2075.3883378505707,7.20550073258125,0.20684609726908043,2048,0.003471880708380491,9.966621354503028e-05
SGD,12298.267387628555,10.637976503158653,0.0071374384209848644,2048,0.0008649979845014532,5.803612977357097e-07
